cik,cik10,name_from_ticker_map,name_from_sec,entity_type,sic,sic_int,sic_description,sic_major_group,research_sector,include_in_research_universe,exclude_reason,classification_rule,fiscal_year_end,tickers,exchanges
737468,0000737468,WASHINGTON TRUST BANCORP INC,WASHINGTON TRUST BANCORP INC,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Fund_ETF_Trust,False,fund_etf_or_trust_excluded,fund_etf_trust_keyword_or_sic,1231,WASH,Nasdaq
737758,0000737758,TORO CO,TORO CO,operating,3524,3524.0,Lawn & Garden Tractors & Home Lawn & Gardens Equip,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1031,TTC,NYSE
737875,0000737875,FIRST KEYSTONE CORP,FIRST KEYSTONE CORP,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,FKYS,OTC
738214,0000738214,"AEMETIS, INC","AEMETIS, INC",operating,2860,2860.0,Industrial Organic Chemicals,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,AMTX,Nasdaq
739421,0000739421,CITIZENS FINANCIAL SERVICES INC,CITIZENS FINANCIAL SERVICES INC,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,CZFS,Nasdaq
740260,0000740260,"Ventas, Inc.","Ventas, Inc.",operating,6798,6798.0,Real Estate Investment Trusts,Finance_Insurance_Real_Estate,Excluded_REIT,False,reit_excluded,sic_6798_or_reit_keyword,1231,VTR,NYSE
740664,0000740664,R F INDUSTRIES LTD,R F INDUSTRIES LTD,operating,3678,3678.0,Electronic Connectors,Manufacturing,Technology,True,,technology_sic_range_or_keyword,1031,RFIL,Nasdaq
740806,0000740806,F&M BANK CORP,F&M BANK CORP,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,FMBM,OTC
742278,0000742278,RPC INC,RPC INC,operating,1389,1389.0,"Oil & Gas Field Services, NEC",Mining,Extended_Candidate,True,,extended_candidate_energy_mining,1231,RES,NYSE
743367,0000743367,BAR HARBOR BANKSHARES,BAR HARBOR BANKSHARES,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Fund_ETF_Trust,False,fund_etf_or_trust_excluded,fund_etf_trust_keyword_or_sic,1231,BHB,NYSE
744187,0000744187,REX AMERICAN RESOURCES Corp,REX AMERICAN RESOURCES Corp,operating,2860,2860.0,Industrial Organic Chemicals,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0131,REX,NYSE
744218,0000744218,"Celldex Therapeutics, Inc.","Celldex Therapeutics, Inc.",operating,2835,2835.0,In Vitro & In Vivo Diagnostic Substances,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,CLDX,Nasdaq
744452,0000744452,BNB PLUS CORP.,BNB PLUS CORP.,operating,8734,8734.0,Services-Testing Laboratories,Services,Extended_Candidate,True,,extended_candidate_services,0930,BNBX,Nasdaq
744825,0000744825,AMERICAN SHARED HOSPITAL SERVICES,AMERICAN SHARED HOSPITAL SERVICES,operating,8071,8071.0,Services-Medical Laboratories,Services,Extended_Candidate,True,,extended_candidate_healthcare_services,1231,AMS,NYSE
745308,0000745308,ST JOE Co,ST JOE Co,operating,6552,6552.0,Land Subdividers & Developers (No Cemeteries),Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,JOE,NYSE
745732,0000745732,"ROSS STORES, INC.","ROSS STORES, INC.",operating,5651,5651.0,Retail-Family Clothing Stores,Retail_Trade,Retail,True,,sic_5200_5999,0201,ROST,Nasdaq
746210,0000746210,"TaoWeave, Inc.","TaoWeave, Inc.",operating,7370,7370.0,"Services-Computer Programming, Data Processing, Etc.",Services,Technology,True,,technology_sic_range_or_keyword,1231,TWAV,Nasdaq
746514,0000746514,NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP,NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP,operating,6513,6513.0,Operators of  Apartment Buildings,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,NEN,NYSE
746515,0000746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,operating,4731,4731.0,Arrangement of  Transportation of  Freight & Cargo,Transportation_Communications_Utilities,Extended_Candidate,True,,extended_candidate_transportation_communications,1231,EXPD,NYSE
746598,0000746598,BRADY CORP,BRADY CORP,operating,3990,3990.0,Miscellaneous Manufacturing Industries,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0731,BRC,NYSE
746838,0000746838,UNISYS CORP,UNISYS CORP,operating,7373,7373.0,Services-Computer Integrated Systems Design,Services,Technology,True,,technology_sic_range_or_keyword,1231,UIS,NYSE
747540,0000747540,SURGE COMPONENTS INC,SURGE COMPONENTS INC,operating,5065,5065.0,"Wholesale-Electronic Parts & Equipment, NEC",Wholesale_Trade,Technology,True,,technology_sic_range_or_keyword,1130,SPRS,OTC
748268,0000748268,"Red Cat Holdings, Inc.","Red Cat Holdings, Inc.",operating,7372,7372.0,Services-Prepackaged Software,Services,Technology,True,,technology_sic_range_or_keyword,1231,RCAT,Nasdaq
748592,0000748592,Ernexa Therapeutics Inc.,Ernexa Therapeutics Inc.,operating,2834,2834.0,Pharmaceutical Preparations,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,ERNA;ERNAW,Nasdaq;Nasdaq
748691,0000748691,KOREA FUND INC,KOREA FUND INC,other,,,,Unknown,Unknown,False,missing_sic,sic_missing_or_invalid,0630,KF,NYSE
749098,0000749098,MAGNA INTERNATIONAL INC,MAGNA INTERNATIONAL INC,other,3714,3714.0,Motor Vehicle Parts & Accessories,Manufacturing,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,1231,MGA,NYSE
749251,0000749251,GARTNER INC,GARTNER INC,operating,8741,8741.0,Services-Management Services,Services,Extended_Candidate,True,,extended_candidate_services,1231,IT,NYSE
749647,0000749647,"Imunon, Inc.","Imunon, Inc.",operating,2834,2834.0,Pharmaceutical Preparations,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,IMNN,Nasdaq
750004,0000750004,"Light & Wonder, Inc.","Light & Wonder, Inc.",operating,7373,7373.0,Services-Computer Integrated Systems Design,Services,Technology,True,,technology_sic_range_or_keyword,1231,LAWIL;LNWO,OTC;OTC
750558,0000750558,QNB CORP.,QNB CORP.,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,QNBC,OTC
750574,0000750574,"AUBURN NATIONAL BANCORPORATION, INC","AUBURN NATIONAL BANCORPORATION, INC",operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,AUBN,Nasdaq
750577,0000750577,HANCOCK WHITNEY CORP,HANCOCK WHITNEY CORP,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,HWC;HWCPZ,Nasdaq;Nasdaq
750686,0000750686,CAMDEN NATIONAL CORP,CAMDEN NATIONAL CORP,operating,6021,6021.0,National Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,CAC,Nasdaq
751364,0000751364,"NNN REIT, INC.","NNN REIT, INC.",operating,6798,6798.0,Real Estate Investment Trusts,Finance_Insurance_Real_Estate,Excluded_REIT,False,reit_excluded,sic_6798_or_reit_keyword,1231,NNN,NYSE
751365,0000751365,VIRCO MFG CORPORATION,VIRCO MFG CORPORATION,operating,2531,2531.0,Public Bldg & Related Furniture,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0131,VIRC,Nasdaq
751978,0000751978,VICOR CORP,VICOR CORP,operating,3679,3679.0,"Electronic Components, NEC",Manufacturing,Technology,True,,technology_sic_range_or_keyword,1231,VICR,Nasdaq
752642,0000752642,"UMH PROPERTIES, INC.","UMH PROPERTIES, INC.",operating,6798,6798.0,Real Estate Investment Trusts,Finance_Insurance_Real_Estate,Excluded_REIT,False,reit_excluded,sic_6798_or_reit_keyword,1231,UMH;UMH-PD,NYSE;NYSE
752714,0000752714,MCGRATH RENTCORP,MCGRATH RENTCORP,operating,7359,7359.0,"Services-Equipment Rental & Leasing, NEC",Services,Extended_Candidate,True,,extended_candidate_services,1231,MGRC,Nasdaq
753308,0000753308,NEXTERA ENERGY INC,NEXTERA ENERGY INC,operating,4911,4911.0,Electric Services,Transportation_Communications_Utilities,Excluded_Utilities,False,utilities_excluded,sic_4900_4999,1231,NEE;NEE-PN;NEE-PS;NEE-PT;NEE-PU;NEE-PV;NEE-PW,NYSE;NYSE;NYSE;NYSE;NYSE;NYSE;NYSE
754811,0000754811,U S GLOBAL INVESTORS INC,U S GLOBAL INVESTORS INC,operating,6282,6282.0,Investment Advice,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,0630,GROW,Nasdaq
755001,0000755001,UNITIL CORP,UNITIL CORP,operating,4931,4931.0,Electric & Other Services Combined,Transportation_Communications_Utilities,Excluded_Utilities,False,utilities_excluded,sic_4900_4999,1231,UTL,NYSE
756894,0000756894,BARRICK MINING CORP,BARRICK MINING CORP,other,1040,1040.0,Gold and Silver Ores,Mining,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,1231,B,NYSE
759828,0000759828,JOHN HANCOCK INVESTORS TRUST,JOHN HANCOCK INVESTORS TRUST,other,0000,0.0,,Unknown,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,1231,JHI,NYSE
759866,0000759866,JOHN HANCOCK INCOME SECURITIES TRUST,JOHN HANCOCK INCOME SECURITIES TRUST,other,0000,0.0,,Unknown,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,1031,JHS,NYSE
759944,0000759944,CITIZENS FINANCIAL GROUP INC/RI,CITIZENS FINANCIAL GROUP INC/RI,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,CFG;CFG-PE;CFG-PH;CFG-PI,NYSE;NYSE;NYSE;NYSE
760498,0000760498,BANCFIRST CORP /OK/,BANCFIRST CORP /OK/,operating,6021,6021.0,National Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,BANF;BANFP,Nasdaq;Nasdaq
761648,0000761648,"CEDAR REALTY TRUST, INC.","CEDAR REALTY TRUST, INC.",operating,6798,6798.0,Real Estate Investment Trusts,Finance_Insurance_Real_Estate,Excluded_REIT,False,reit_excluded,sic_6798_or_reit_keyword,1231,CDR-PB;CDR-PC,NYSE;NYSE
763532,0000763532,LSI INDUSTRIES INC,LSI INDUSTRIES INC,operating,3640,3640.0,Electric Lighting & Wiring Equipment,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0630,LYTS,Nasdaq
763563,0000763563,CHEMUNG FINANCIAL CORP,CHEMUNG FINANCIAL CORP,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,CHMG,Nasdaq
763744,0000763744,LCI INDUSTRIES,LCI INDUSTRIES,operating,3714,3714.0,Motor Vehicle Parts & Accessories,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,LCII,NYSE
763901,0000763901,"POPULAR, INC.","POPULAR, INC.",operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,BPOP;BPOPO;BPOPM,Nasdaq;OTC;Nasdaq
763907,0000763907,FIRST UNITED CORP/MD/,FIRST UNITED CORP/MD/,operating,6021,6021.0,National Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,FUNC,Nasdaq
764038,0000764038,SouthState Bank Corp,SouthState Bank Corp,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,SSB,NYSE
764065,0000764065,CLEVELAND-CLIFFS INC.,CLEVELAND-CLIFFS INC.,operating,1000,1000.0,Metal Mining,Mining,Extended_Candidate,True,,extended_candidate_energy_mining,1231,CLF,NYSE
764180,0000764180,"ALTRIA GROUP, INC.","ALTRIA GROUP, INC.",operating,2111,2111.0,Cigarettes,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,MO,NYSE
764401,0000764401,INSTEEL INDUSTRIES INC,INSTEEL INDUSTRIES INC,operating,3310,3310.0,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1003,IIIN,NYSE
764478,0000764478,BEST BUY CO INC,BEST BUY CO INC,operating,5731,5731.0,"Retail-Radio, Tv & Consumer Electronics Stores",Retail_Trade,Technology,True,,technology_sic_range_or_keyword,0131,BBY,NYSE
764622,0000764622,PINNACLE WEST CAPITAL CORP,PINNACLE WEST CAPITAL CORP,operating,4911,4911.0,Electric Services,Transportation_Communications_Utilities,Excluded_Utilities,False,utilities_excluded,sic_4900_4999,1231,PNW,NYSE
764630,0000764630,SHOREPOWER TECHNOLOGIES INC.,"AETERNUM HEALTH, INC.",operating,3690,3690.0,"Miscellaneous Electrical Machinery, Equipment & Supplies",Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,AETN,OTC
765207,0000765207,"First Bancorp, Inc /ME/","First Bancorp, Inc /ME/",operating,6021,6021.0,National Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,FNLC,Nasdaq
765880,0000765880,"HEALTHPEAK PROPERTIES, INC.","HEALTHPEAK PROPERTIES, INC.",operating,6798,6798.0,Real Estate Investment Trusts,Finance_Insurance_Real_Estate,Excluded_REIT,False,reit_excluded,sic_6798_or_reit_keyword,1231,DOC,NYSE
766011,0000766011,Caledonia Mining Corp Plc,Caledonia Mining Corp Plc,other,1040,1040.0,Gold and Silver Ores,Mining,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,1231,CMCL,NYSE
766421,0000766421,"ALASKA AIR GROUP, INC.","ALASKA AIR GROUP, INC.",operating,4512,4512.0,"Air Transportation, Scheduled",Transportation_Communications_Utilities,Extended_Candidate,True,,extended_candidate_transportation_communications,1231,ALK,NYSE
766704,0000766704,WELLTOWER INC.,WELLTOWER INC.,operating,6798,6798.0,Real Estate Investment Trusts,Finance_Insurance_Real_Estate,Excluded_REIT,False,reit_excluded,sic_6798_or_reit_keyword,1231,WELL,NYSE
766792,0000766792,CVD EQUIPMENT CORP,CVD EQUIPMENT CORP,operating,3559,3559.0,"Special Industry Machinery, NEC",Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,CVV,Nasdaq
766829,0000766829,H2O AMERICA,H2O AMERICA,operating,4941,4941.0,Water Supply,Transportation_Communications_Utilities,Excluded_Utilities,False,utilities_excluded,sic_4900_4999,1231,HTO,Nasdaq
767405,0000767405,"SB FINANCIAL GROUP, INC.","SB FINANCIAL GROUP, INC.",operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,SBFG,Nasdaq
768408,0000768408,CYANOTECH CORP,CYANOTECH CORP,operating,2833,2833.0,Medicinal Chemicals & Botanical Products,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0331,CYAN,OTC
768899,0000768899,"TrueBlue, Inc.","TrueBlue, Inc.",operating,7363,7363.0,Services-Help Supply Services,Services,Extended_Candidate,True,,extended_candidate_services,1227,TBI,NYSE
769218,0000769218,AEGON LTD.,AEGON LTD.,other,6311,6311.0,Life Insurance,Finance_Insurance_Real_Estate,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,1231,AEG;AEGOF;AEFC,NYSE;OTC;NYSE
769397,0000769397,"Autodesk, Inc.","Autodesk, Inc.",operating,7372,7372.0,Services-Prepackaged Software,Services,Technology,True,,technology_sic_range_or_keyword,0131,ADSK,Nasdaq
769520,0000769520,MIDDLEBY Corp,MIDDLEBY Corp,operating,3580,3580.0,Refrigeration & Service Industry Machinery,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0102,MIDD,Nasdaq
769594,0000769594,NIPPON TELEGRAPH & TELEPHONE CORP,NIPPON TELEGRAPH & TELEPHONE CORP,other,4813,4813.0,Telephone Communications (No Radiotelephone),Transportation_Communications_Utilities,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,0331,NTTYY;NPPXF,OTC;OTC
770460,0000770460,PEOPLES FINANCIAL CORP /MS/,PEOPLES FINANCIAL CORP /MS/,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,PFBX,OTC
771266,0000771266,KOPIN CORP,KOPIN CORP,operating,3674,3674.0,Semiconductors & Related Devices,Manufacturing,Technology,True,,technology_sic_range_or_keyword,1227,KOPN,Nasdaq
771497,0000771497,ABM INDUSTRIES INC /DE/,ABM INDUSTRIES INC /DE/,operating,7340,7340.0,Services-To Dwellings & Other Buildings,Services,Extended_Candidate,True,,extended_candidate_services,1031,ABM,NYSE
771856,0000771856,"CHAMPIONS ONCOLOGY, INC.","CHAMPIONS ONCOLOGY, INC.",operating,2836,2836.0,"Biological Products, (No Diagnostic Substances)",Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0430,CSBR,Nasdaq
771992,0000771992,PAN AMERICAN SILVER CORP,PAN AMERICAN SILVER CORP,other,1040,1040.0,Gold and Silver Ores,Mining,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,1231,PAAS;PAASF,NYSE;OTC
771999,0000771999,"DSS, INC.","DSS, INC.",operating,2650,2650.0,Paperboard Containers & Boxes,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,DSS,NYSE
772406,0000772406,"CIRRUS LOGIC, INC.","CIRRUS LOGIC, INC.",operating,3674,3674.0,Semiconductors & Related Devices,Manufacturing,Technology,True,,technology_sic_range_or_keyword,0328,CRUS,Nasdaq
773717,0000773717,"American Clean Resources Group, Inc.","American Clean Resources Group, Inc.",operating,1400,1400.0,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),Mining,Extended_Candidate,True,,extended_candidate_energy_mining,1231,ACRG,OTC
773840,0000773840,HONEYWELL INTERNATIONAL INC,HONEYWELL INTERNATIONAL INC,operating,3724,3724.0,Aircraft Engines & Engine Parts,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,HON,Nasdaq
774415,0000774415,"King Resources, Inc.","King Resources, Inc.",operating,3612,3612.0,"Power, Distribution & Specialty Transformers",Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0331,KRFG,OTC
775057,0000775057,ALTEX INDUSTRIES INC,ALTEX INDUSTRIES INC,operating,1311,1311.0,Crude Petroleum & Natural Gas,Mining,Extended_Candidate,True,,extended_candidate_energy_mining,0930,ALTX,OTC
775158,0000775158,OSHKOSH CORP,OSHKOSH CORP,operating,3711,3711.0,Motor Vehicles & Passenger Car Bodies,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,OSK,NYSE
775215,0000775215,"HBT Financial, Inc.","HBT Financial, Inc.",operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,HBT,Nasdaq
776867,0000776867,WHITE MOUNTAINS INSURANCE GROUP LTD,WHITE MOUNTAINS INSURANCE GROUP LTD,operating,6331,6331.0,"Fire, Marine & Casualty Insurance",Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,WTM,NYSE
776901,0000776901,INDEPENDENT BANK CORP,INDEPENDENT BANK CORP,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,INDB,Nasdaq
778164,0000778164,"Alto Ingredients, Inc.","Alto Ingredients, Inc.",operating,2860,2860.0,Industrial Organic Chemicals,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,ALTO,Nasdaq
779152,0000779152,JACK HENRY & ASSOCIATES INC,JACK HENRY & ASSOCIATES INC,operating,7373,7373.0,Services-Computer Integrated Systems Design,Services,Technology,True,,technology_sic_range_or_keyword,0630,JKHY,Nasdaq
779227,0000779227,STEELE BANCORP INC,STEELE BANCORP INC,operating,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_Financials_Insurance_RealEstate,False,financials_insurance_real_estate_excluded,sic_6000_6799,1231,STLE,OTC
779336,0000779336,"ABRDN AUSTRALIA EQUITY FUND, INC.","ABRDN AUSTRALIA EQUITY FUND, INC.",other,,,,Unknown,Unknown,False,missing_sic,sic_missing_or_invalid,1031,IAF,NYSE
779544,0000779544,ARK RESTAURANTS CORP,ARK RESTAURANTS CORP,operating,5812,5812.0,Retail-Eating  Places,Retail_Trade,Retail,True,,sic_5200_5999,0928,ARKR,Nasdaq
780571,0000780571,"ITRON, INC.","ITRON, INC.",operating,3825,3825.0,Instruments For Meas & Testing of  Electricity & Elec Signals,Manufacturing,Technology,True,,technology_sic_range_or_keyword,1231,ITRI,Nasdaq
783324,0000783324,VISTA GOLD CORP,VISTA GOLD CORP,operating,1040,1040.0,Gold and Silver Ores,Mining,Extended_Candidate,True,,extended_candidate_energy_mining,1231,VGZ,NYSE
783325,0000783325,"WEC ENERGY GROUP, INC.","WEC ENERGY GROUP, INC.",operating,4931,4931.0,Electric & Other Services Combined,Transportation_Communications_Utilities,Excluded_Utilities,False,utilities_excluded,sic_4900_4999,1231,WEC,NYSE
783412,0000783412,DAILY JOURNAL CORP,DAILY JOURNAL CORP,operating,2711,2711.0,Newspapers: Publishing or  Publishing & Printing,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0930,DJCO,Nasdaq
784199,0000784199,"ARTIVION, INC.","ARTIVION, INC.",operating,3841,3841.0,Surgical & Medical Instruments & Apparatus,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,AORT,NYSE
784539,0000784539,EACO CORP,EACO CORP,operating,5065,5065.0,"Wholesale-Electronic Parts & Equipment, NEC",Wholesale_Trade,Technology,True,,technology_sic_range_or_keyword,0831,EACO,OTC
784977,0000784977,PORTLAND GENERAL ELECTRIC CO /OR/,PORTLAND GENERAL ELECTRIC CO /OR/,operating,4911,4911.0,Electric Services,Transportation_Communications_Utilities,Excluded_Utilities,False,utilities_excluded,sic_4900_4999,1231,POR,NYSE
785161,0000785161,Encompass Health Corp,Encompass Health Corp,operating,8060,8060.0,Services-Hospitals,Services,Extended_Candidate,True,,extended_candidate_healthcare_services,1231,EHC,NYSE
785557,0000785557,DLH Holdings Corp.,DLH Holdings Corp.,operating,7363,7363.0,Services-Help Supply Services,Services,Extended_Candidate,True,,extended_candidate_services,0930,DLHC,Nasdaq
785786,0000785786,PLEXUS CORP,PLEXUS CORP,operating,3672,3672.0,Printed Circuit Boards,Manufacturing,Technology,True,,technology_sic_range_or_keyword,1003,PLXS,Nasdaq
785956,0000785956,J&J SNACK FOODS CORP,J&J SNACK FOODS CORP,operating,2052,2052.0,Cookies & Crackers,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0926,JJSF,Nasdaq
786035,0000786035,LIBERTY ALL STAR GROWTH FUND INC.,LIBERTY ALL STAR GROWTH FUND INC.,other,,,,Unknown,Unknown,False,missing_sic,sic_missing_or_invalid,1231,ASG,NYSE
786298,0000786298,FORESIGHT FINANCIAL GROUP INC,FORESIGHT FINANCIAL GROUP INC,other,6022,6022.0,State Commercial Banks,Finance_Insurance_Real_Estate,Excluded_NonOperating_Entity,False,non_operating_entity_type,entity_type_not_operating,1231,FGFH,OTC
787253,0000787253,NATURAL ALTERNATIVES INTERNATIONAL INC,NATURAL ALTERNATIVES INTERNATIONAL INC,operating,2833,2833.0,Medicinal Chemicals & Botanical Products,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0630,NAII,Nasdaq
788329,0000788329,JOHNSON OUTDOORS INC,JOHNSON OUTDOORS INC,operating,3949,3949.0,"Sporting & Athletic Goods, NEC",Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1002,JOUT,Nasdaq
788611,0000788611,"NextTrip, Inc.","NextTrip, Inc.",operating,4700,4700.0,Transportation Services,Transportation_Communications_Utilities,Extended_Candidate,True,,extended_candidate_transportation_communications,0228,NTRP,Nasdaq
788784,0000788784,PUBLIC SERVICE ENTERPRISE GROUP INC,PUBLIC SERVICE ENTERPRISE GROUP INC,operating,4931,4931.0,Electric & Other Services Combined,Transportation_Communications_Utilities,Excluded_Utilities,False,utilities_excluded,sic_4900_4999,1231,PEG,NYSE
788920,0000788920,PRO DEX INC,PRO DEX INC,operating,3841,3841.0,Surgical & Medical Instruments & Apparatus,Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,0630,PDEX,Nasdaq
788965,0000788965,HALLADOR ENERGY CO,HALLADOR ENERGY CO,operating,4911,4911.0,Electric Services,Transportation_Communications_Utilities,Excluded_Utilities,False,utilities_excluded,sic_4900_4999,1231,HNRG,Nasdaq
789019,0000789019,MICROSOFT CORP,MICROSOFT CORP,operating,7372,7372.0,Services-Prepackaged Software,Services,Technology,True,,technology_sic_range_or_keyword,0630,MSFT,Nasdaq
789460,0000789460,WORLD KINECT CORP,WORLD KINECT CORP,operating,5172,5172.0,Wholesale-Petroleum & Petroleum Products (No Bulk Stations),Wholesale_Trade,Extended_Candidate,True,,extended_candidate_wholesale_trade,1231,WKC,NYSE
789570,0000789570,MGM Resorts International,MGM Resorts International,operating,7011,7011.0,Hotels & Motels,Services,Extended_Candidate,True,,extended_candidate_services,1231,MGM,NYSE
789933,0000789933,NACCO INDUSTRIES INC,NACCO INDUSTRIES INC,operating,1221,1221.0,Bituminous Coal & Lignite Surface Mining,Mining,Extended_Candidate,True,,extended_candidate_energy_mining,1231,NC,NYSE
790051,0000790051,CARLISLE COMPANIES INC,CARLISLE COMPANIES INC,operating,3060,3060.0,"Fabricated Rubber Products, NEC",Manufacturing,Industrials_Manufacturing,True,,sic_2000_3999_non_technology,1231,CSL,NYSE
